ID,Usia,Status,Kelamin,Memiliki_Mobil,Penghasilan,Beli_Mobil
1,32,1,0,0,240,1
2,49,2,1,1,100,0
3,52,1,0,2,250,1
4,26,2,1,1,130,0
5,45,3,0,2,237,1
6,39,2,0,1,280,1
7,38,2,1,0,150,0
8,29,1,1,0,143,0
9,30,2,0,0,200,1
10,51,1,1,0,174,0
11,28,1,0,0,200,1
12,25,0,1,0,147,0
13,52,2,1,2,200,1
14,34,3,1,1,196,1
15,27,2,1,0,120,0
16,49,2,0,1,230,1
17,42,2,0,1,350,1
18,26,0,0,0,172,0
19,33,1,0,0,160,1
20,53,2,0,1,260,1
21,50,1,1,0,174,0
22,49,3,1,1,260,1
23,40,2,1,0,238,0
24,44,2,0,1,400,1
25,35,1,0,1,158,0
26,41,1,0,1,236,1
27,48,1,1,1,202,0
28,50,2,1,0,140,0
29,51,1,0,0,165,0
30,35,2,0,0,280,1
31,30,2,1,0,224,0
32,37,2,1,1,203,0
33,31,1,0,1,194,1
34,52,2,0,1,280,1
35,33,2,1,1,220,0
36,47,2,1,1,240,0
37,26,1,0,0,125,0
38,33,0,0,0,162,0
39,27,0,1,0,120,0
40,33,2,1,1,238,1
41,50,1,0,1,270,1
42,24,0,1,0,95,0
43,31,2,1,0,187,0
44,44,1,0,2,250,1
45,42,2,1,1,235,0
46,35,2,0,0,122,0
47,26,0,1,1,172,0
48,53,0,0,1,339,1
49,49,1,1,2,199,0
50,34,1,1,0,175,0
51,49,1,1,1,203,0
52,31,2,0,1,261,1
53,27,2,1,0,139,0
54,29,0,0,0,195,1
55,40,3,0,1,270,1
56,59,2,0,2,300,1
57,31,3,1,1,233,0
58,51,3,1,1,165,0
59,26,0,1,1,139,0
60,32,1,0,1,216,1
61,52,1,1,0,172,0
62,27,0,0,0,122,0
63,64,2,0,1,179,0
64,30,2,0,0,186,1
65,28,2,1,0,95,0
66,49,2,0,1,297,1
67,59,2,1,2,103,0
68,61,2,0,4,390,1
69,25,0,1,2,98,0
70,61,2,1,1,190,0
71,33,2,1,2,135,0
72,37,2,1,1,250,0
73,44,2,0,3,322,1
74,32,2,1,2,159,0
75,45,3,1,1,300,1
76,35,2,0,1,300,1
77,29,2,1,2,161,0
78,50,2,0,2,301,1
79,54,2,1,3,450,0
80,30,2,0,1,223,1
81,31,2,0,0,339,1
82,26,0,0,0,190,1
83,25,0,0,0,102,0
84,28,1,0,0,190,1
85,31,2,1,1,136,0
86,48,2,0,1,288,1
87,37,2,1,1,170,0
88,30,0,0,1,290,1
89,45,3,0,1,377,1
90,42,2,1,2,200,0
91,27,0,1,0,133,0
92,24,0,1,0,129,0
93,36,1,0,1,324,1
